fips,state,county,yrs_lost_rate,sroh_fairpoor,phys_days,ment_days,pct_smokers,pct_obese,food_envir,inactive,binge_drink,uninsured,some_college,unemployed,income_ratio,social_assoc,air_pollution,housing_prob,drive_alone,phys_distress,ment_distress,food_insecure,poor_sleep,health_costs,hh_income,population,pct_65plus,pct_nhwhite,not_english,pct_female,pct_rural,rural_cat,race_cat
6077,California,San Joaquin,6995.4,19.00725854,3.81191466,3.748978385,13.18818636,28.3,7.3,20.5,18.29475197,13.17068843,51.74030204,8.875586536,4.887603986,4.891021064,9.7,27.24932155,76.57380908,11.99044377,11.44153644,15.6,34.7,8310.4,53.341,726106,12.0614621,33.38548366,9.806321978,50.16760638,8.472857381,Urban,High
6079,California,San Luis Obispo,5449.1,13.75423292,3.837053786,3.699678009,11.86399199,24.5,7.7,14.1,20.2715124,13.60450831,69.17313916,4.639445053,4.769190305,8.850413676,8.7,24.5264549,73.57152631,10.95306729,10.98251553,13.8,29.6,7242.73,61.761,281401,18.20569223,69.28688953,3.908027609,49.24715975,16.59638699,Urban,High
6081,California,San Mateo,3537.7,10.88229108,3.004381496,2.989343246,8.66158863,21.1,8.7,15.8,17.96305828,9.147484722,74.79082121,3.394378753,4.748273524,5.93212854,8.1,24.47080716,69.79249779,8.71927879,8.82983468,10.1,30.3,7225.88,101.133,765135,14.96441804,39.94380077,8.299277717,50.76032334,1.891012748,Urban,High
6083,California,Santa Barbara,4881.6,18.36876778,3.861864007,3.650669412,11.46675196,18.2,8.2,14,19.19457299,15.49168479,57.53775394,5.276339653,4.853270078,7.965180136,8,29.56886819,67.74808111,11.78674991,11.27425687,11.5,30.6,7593.01,63.049,444769,14.31529626,45.40132069,11.18105832,49.90298335,5.01751613,Urban,High
6085,California,Santa Clara,3660.7,11.55228564,2.96657513,3.029473318,8.447803097,19.5,8.5,15.2,16.19525755,8.424815097,75.43177534,4.155116766,5.061662842,5.552608591,8.8,24.22810256,76.0455243,8.538221312,8.627823779,11,31.9,7796.83,102.191,1918044,12.51154822,32.79017583,10.00382643,49.6679951,1.083663272,Urban,High
6087,California,Santa Cruz,5213.4,15.69215171,3.947698523,3.627041206,11.47268974,20.2,7.7,13.3,20.29621238,12.89840505,66.07585258,7.498197549,5.259494152,7.284661006,7.9,27.41029891,69.91298919,11.30992503,11.07927149,13.4,28.9,7046.57,64.841,274146,14.15085393,57.82356846,8.374260268,50.43881727,12.03931672,Urban,High
6089,California,Shasta,8514.8,14.41406768,3.905040142,4.025578863,13.65401267,26.5,6.4,19.4,17.20681121,13.49984698,65.31322218,7.804109113,4.717947377,8.342417299,7.3,22.66599014,81.90140949,11.50126884,12.01708425,18.3,30.6,8083.4,45.943,179533,19.84481962,80.51555981,1.469497689,51.00343669,29.28626646,Suburban,Middle
6091,California,Sierra,,14.09686523,3.876131637,3.89436374,12.12004817,22.5,5.2,16.1,16.98924149,15.02283105,56.47482014,8.956328645,5.8392867,6.66000666,5.6,19.52191235,71.09227872,11.23973313,11.57888925,16.7,28.9,8088,47.535,2967,27.6710482,85.40613414,1.229928254,49.41017863,99.72222222,Rural,Middle
6093,California,Siskiyou,8974.3,16.74963675,4.262415376,4.158356063,14.29573227,23.2,5.9,18.7,17.52011349,14.63370787,62.79312747,9.377767936,4.613730203,12.83579353,6.6,23.87329385,73.20778806,12.91649201,12.93868735,20,30.5,6755.7,37.447,43554,23.49037976,76.96193231,1.588713166,50.45001607,65.82628062,Rural,High
6095,California,Solano,6338.8,15.53032179,3.720061484,3.479243373,11.58607642,30.1,7.4,18.2,19.07518002,10.25194451,63.40683357,6.12282434,4.388457348,5.589948299,8.5,22.97034602,76.55662597,10.65564493,10.39528155,15.2,32.7,7227.97,67.202,436092,14.10803225,39.08143236,5.18264823,50.26989718,3.718452427,Urban,High
