fips,state,county,years_lost_rate,sroh_fairpoor,phys_days,ment_days,lbw_pct,smoker_pct,obese_pct,food_env,inactive_pct,exer_access,exc_drink,alc_drive,sti_rate,teen_births,uninsured,pcp_ratio,prev_hosp,hsgrads,unemployed,poor_kids,income_ratio,associations,pm2.5,h2oviol,sev_housing,drive_alone,age-adj-mortality,dm_prev,freq_phys_distress,freq_mental_distress,food_insecure,insuff_sleep,median_income,population,age65plus,african-am,hispanic,white,female,rural
39063,Ohio,Hancock,7816,14.44,3.94,4.15,7.77,18.37,33,8,27,85.1,18.38,25.49,265.3,20.47,6.29,1804,40.67,93.38,3.41,13.3,3.919,13.6,11.7,Yes,10,84,373,11.3,11.8,12.8,11.6,39.5,61579,75930,17.3,1.7,5.56,88.91,0.50539971,0.311104276
39065,Ohio,Hardin,8640,17.08,4.23,4.59,8.1,20.86,36.8,7.8,38.4,64.6,18.72,24,267.8,25.97,7.53,3136,74.46,94.13,4.36,17.7,4.072,11.16,11.7,No,12,79,447.6,14.2,12.7,14.2,13.9,39.5,49580,31480,16.1,0.9,1.85,94.92,0.502096569,0.553777528
39067,Ohio,Harrison,9904,18.17,4.24,4.61,5.41,20.2,35.3,8,28.1,26.7,17,33.33,243.2,38.2,7.82,5072,65.18,88.39,5.25,21.8,4.017,15.12,11.1,Yes,13,84,453.6,13.4,12.7,14,13.7,38.5,50301,15174,21.3,2.1,1.29,94.81,0.502306577,0.841086737
39069,Ohio,Henry,7224,14.76,3.78,4,6.48,16.74,33,8.4,27.3,43.1,19.25,29.73,257.5,16.67,6.26,2719,37.33,94.69,4.94,17.4,3.322,15.82,11.8,Yes,9,88,334.2,8.3,11.1,12.2,10.2,34.3,57705,27086,18.7,0.69,7.8,89.8,0.506091708,0.690802765
39071,Ohio,Highland,9886,19.48,4.48,4.91,7.96,21.03,31.6,7.5,29.3,41.9,16.46,30,230.4,37.97,9.21,3069,50.13,91.83,5.55,21.9,4.664,12.1,10.9,No,17,82,461.6,14.5,13.8,15.1,15.9,36.2,49161,43058,18.5,1.45,1.24,94.96,0.509080775,0.73002363
39073,Ohio,Hocking,9324,16.33,4.15,4.51,6.61,19.81,40.7,7.5,28.6,82.5,17.16,23.81,270.4,30.45,7.05,2034,48.37,95.11,5.06,21.2,4.328,8.43,10.7,No,12,85,462.6,13.9,12.4,13.6,13.2,38.6,50568,28385,19.1,0.66,1.05,96.27,0.503857671,0.70840708
39075,Ohio,Holmes,5172,15.75,3.95,4.24,4.12,18.35,29.2,8.5,28.6,37.1,20.04,22.22,86.4,11.37,23.9,3996,14.14,93.94,3.27,12.6,3.714,11.37,11.5,No,15,53,310,11.6,11.8,12.9,11.1,37.2,60828,43892,13.7,0.38,1,97.76,0.499293721,0.929943823
39077,Ohio,Huron,8749,17.75,4,4.29,6.59,19.31,38.4,7.8,30.5,67.6,18.38,28.95,318,26.57,7.59,2543,58.51,95.79,5.9,14.6,4.005,12.65,11.2,Yes,11,84,407,12.7,12.3,13.4,13.4,38.1,55202,58504,17.1,1.15,6.91,89.83,0.505965404,0.503035589
39079,Ohio,Jackson,12111,22.82,4.91,5.08,8.89,23.2,39.4,7.4,34.5,58.4,17.03,21.88,184.9,47.31,7.85,2496,38.11,94.25,6.56,24.5,4.413,12.33,10.4,Yes,13,85,587.7,18,14.7,15.3,16.2,39.1,44726,32384,17.3,0.7,1.11,95.89,0.510004941,0.645808879
39081,Ohio,Jefferson,10213,20.57,4.54,4.69,8.56,20.7,34.1,6.8,34.8,83.7,17.01,38.46,315,26.73,7.17,2370,65.52,92.75,6.34,26.8,4.918,19.44,11.5,Yes,11,84,485.3,14.9,13.5,14.2,16.1,40,42821,65767,21.6,5.33,1.52,90.4,0.514118023,0.38982054
39083,Ohio,Knox,7654,15.43,3.86,4.26,7.05,17.48,30.8,7.9,27.1,65.7,20.17,35.9,257.9,21.2,7.55,2917,49.35,93.17,4.34,20.4,4.052,13.88,11.2,No,15,78,378.4,13.7,11.4,13,12.8,33.5,56885,61893,18.1,0.99,1.49,95.32,0.510283877,0.557000049
39085,Ohio,Lake,7609,15.16,3.75,4.17,7.37,17.39,25.3,7.9,22.9,90.9,18.73,40.35,301.2,14.86,6.32,2256,59.99,91.56,4.69,10.6,3.845,8.65,11,No,12,87,353.5,9.3,11,12.3,11.2,34,65883,230514,20,4.39,4.66,87.73,0.51174766,0.065292709
39087,Ohio,Lawrence,11963,23.96,4.96,4.82,8.65,21.23,39.9,7.4,37.8,54.3,15.66,15,287.1,39.02,6.97,2231,70.18,95.45,5.64,25.3,4.745,9.63,10,No,13,88,585.8,18.9,14.4,14.8,14.9,37.7,43031,59866,18.9,2.11,1.03,94.69,0.513262954,0.459167334
39089,Ohio,Licking,6840,16.08,4.12,4.5,7.82,18.72,32.1,7.9,25.9,77.4,19.97,22.12,444.5,20.95,6.91,2282,46.22,92.02,3.95,12.5,4.301,10.03,11.7,No,12,84,355.3,11.8,12.1,13.2,12.1,33.8,66145,175769,16.4,3.96,1.99,89.8,0.509236555,0.355278332
39091,Ohio,Logan,8549,17.5,4.04,4.39,7.39,18.66,40.5,8.1,27.1,63,18.52,24.39,247.1,32.49,7.01,2266,47.78,96.49,3.72,16.2,4.21,13.02,11.7,No,11,81,434.9,5,12,13.2,12.4,37.7,61699,45358,18.1,1.77,1.59,93.35,0.50458574,0.56914824
39093,Ohio,Lorain,8280,16.43,3.88,4.16,8.05,18.18,36.6,7.5,27.6,90.9,18.96,41.91,484.5,23.57,6.15,1889,65.96,89.58,5.39,21.6,4.55,9.71,11.2,No,13,84,384.4,13.3,11.8,13,13.3,38.8,59265,309461,18.3,7.87,10.22,77.91,0.507954153,0.117379445
39095,Ohio,Lucas,9839,19.13,4.28,4.48,9.58,21.09,34.8,6.9,27.3,97.8,19.93,40.21,766.6,31.6,7.53,1088,61.43,84.32,5.26,25,5.386,9.91,11.9,Yes,16,84,464.7,12.9,13.3,14.3,17.5,39.8,47865,429899,16.3,19.6,7.27,68.38,0.515230322,0.046600953
39097,Ohio,Madison,8525,15.75,3.74,4.16,7.68,18.52,37.4,7.7,28.4,62.1,19.39,29.27,288.4,21.96,6.66,2936,51.66,95.34,3.78,14.1,3.634,8.4,11.7,Yes,11,85,404.6,14.8,11.1,12.4,11.7,40.5,61645,44413,15.5,6.24,2.13,88.32,0.457546214,0.484862438
39099,Ohio,Mahoning,9130,17.85,4.11,4.73,10.48,19.89,31.3,6.7,31.5,80.8,15.05,37.37,543.1,26.71,6.78,970,56.99,90.19,5.94,24.3,4.866,13.36,11.4,Yes,13,85,426.8,12.8,12.6,14.2,16.4,38.2,48010,229642,21,15.05,6.39,75.57,0.510316057,0.151585065
39101,Ohio,Marion,9999,17.22,4.26,4.14,9.01,21.36,40.2,6.4,32.5,77.2,16.73,23.53,521.8,45.96,6.81,3419,68.37,89.75,4.42,24.7,4.488,13.85,11.6,No,13,83,475.5,15.7,13,13.6,14.6,38.2,45419,65256,17.7,6.36,2.76,88.14,0.468891749,0.302506729
39103,Ohio,Medina,5870,12,3.31,3.94,6.72,15.94,29,8.5,23.9,92.1,19.84,40,217,10.2,5.44,1683,42.83,94.52,4.26,7.5,3.756,9.53,11.2,No,11,87,285.5,10.5,9.9,11.6,9.7,33.7,76475,179146,17.9,1.38,2.13,93.81,0.504962433,0.297942344
