fips,state,county,years_lost_rate,sroh_fairpoor,phys_days,ment_days,lbw_pct,smoker_pct,obese_pct,food_env,inactive_pct,exer_access,exc_drink,alc_drive,sti_rate,teen_births,uninsured,pcp_ratio,prev_hosp,hsgrads,unemployed,poor_kids,income_ratio,associations,pm2.5,h2oviol,sev_housing,drive_alone,age_adj_mortality,dm_prev,freq_phys_distress,freq_mental_distress,food_insecure,insuff_sleep,median_income,population,age65plus,african_am,hispanic,white,female,rural
39143,Ohio,Sandusky,8709,20.1,4.42,5.23,7.3,21.7,38.3,8.1,28.9,64.8,19.8,27.1,389.6,26.9,7.3,2018,4201,91.5,8.1,13.8,3.8,12.8,9.1,No,10.7,86.6,419.2,11.1,13.9,17.1,12.5,38.5,60455,58351,19.8,3,10.5,83.5,50.4,44.1
39145,Ohio,Scioto,15419,25.3,5.21,5.91,8.1,29.3,39.2,6.7,35.3,68.2,16.9,17.9,341.2,35.4,8.3,1712,5450,85.7,8.7,26.6,5.7,10.4,7.1,No,14.8,88.2,706.3,12.3,17.3,20.8,19.7,45.1,44297,74347,19,2.6,1.5,93,50.7,54.3
39147,Ohio,Seneca,8258,20.5,4.51,5.36,8.8,23.3,38.7,7.5,30,68.5,19.4,33.3,442.2,22.4,7.2,2904,4096,92.1,8.1,13.3,3.6,14.5,9.1,Yes,10.7,82,397.4,10.9,14.2,17.4,13,40,58129,54938,19.1,2.3,5.5,89,50,47.5
39149,Ohio,Shelby,8650,18.8,4.32,5.31,6.2,22.7,34,8.2,28.1,63.1,20.1,34,372.5,25,6.7,2314,3540,89.6,7.7,12,3.7,10.3,9.6,No,9.1,83.5,424.3,9.9,13.4,17.4,11.4,40,67582,48337,17.6,2.2,1.6,92.4,49.9,51.1
39151,Ohio,Stark,8500,19.6,4.38,5.32,8.5,22.9,36.1,7.4,28,67.8,19.3,33.9,481.4,23.1,7.7,1256,3710,92.1,8.1,18.2,4.4,12.3,10,Yes,11.4,83.8,418.6,10.3,13.7,17.2,13.4,40.1,57364,369772,20.4,7.9,2.3,85.9,51.4,13.5
39153,Ohio,Summit,8515,18.8,4.15,5.04,9.2,21.3,34.4,7.6,27.7,89.4,17.9,39.5,639.9,19.1,8,1027,4008,92.1,8.2,15.6,4.7,11.1,9.1,No,13.3,83,408.7,10.2,13.2,16.2,12.7,38.6,60715,538866,19,14.9,2.4,75.8,51.6,3.9
39155,Ohio,Trumbull,10497,21.7,4.74,5.57,8.7,26.8,37.1,6.7,32.3,62.7,17.2,33.3,510.7,26.3,8.9,2084,4677,89.4,10.4,29.4,4.5,11.8,7.6,No,12.7,85.8,487.8,11.3,14.9,18.3,15.6,45.4,48929,196800,22.5,8.4,2,86.7,51.3,27.3
39157,Ohio,Tuscarawas,7919,20.7,4.62,5.5,7.1,23.7,38.2,7.9,30,63.6,18,37.1,288.1,30.1,10.3,2628,3916,87.1,7.6,13.6,4.1,17.3,9,No,11.9,83.5,410.9,10.5,14.8,17.9,13.4,40.3,58256,91776,20.3,0.8,3.4,93.7,50.5,41.6
39159,Ohio,Union,5435,15.9,3.74,4.81,6.9,19.1,35.2,8.3,26.2,69,19.6,26.7,367.9,11.4,5.8,1903,2752,94.3,5.8,4.7,3.5,11.2,9.5,No,10.3,81.4,285.5,8.9,11.4,15.3,8.9,37.6,92198,60021,13.2,2.6,2.2,88,51.7,50
39161,Ohio,Van Wert,7536,19.4,4.45,5.37,8.1,23.3,39.2,7.8,29.9,58.1,19.2,19.2,194.5,22.4,7.2,2356,3256,92.2,7,9.9,3.5,16.3,9.3,Yes,10.1,86.7,373.2,10.7,13.9,17.5,12.1,39.5,57863,28159,19.9,1.1,4,93.1,50.7,50.7
39163,Ohio,Vinton,13139,24.7,5.24,5.98,8.4,28.6,39.3,7.2,39.1,30.5,18.3,26.7,214,28.3,10.2,6543,2805,78.9,9.1,24.6,4.4,3.8,8.2,No,14.9,83.5,597.1,12.5,17.3,20.8,17.5,42.6,49778,12972,18.8,0.6,1,96.2,50,100
39165,Ohio,Warren,5717,14.7,3.47,4.51,6.9,17,31.4,8.6,22.6,83.1,19.9,24.7,209.7,8.9,5.3,1066,3791,94.1,6.4,5.6,3.8,8.5,10.4,No,9.2,82.4,290.7,8.7,10.7,14.2,8.5,36.4,90600,238412,15.3,3.5,3.1,84.7,49.7,17.3
39167,Ohio,Washington,8598,20.1,4.53,5.46,7,23.5,38.6,7.4,31.3,55,19.5,32.4,267.1,21.8,7.7,1302,5573,90.6,8.6,19.8,4.4,12.9,8.7,No,11,82.3,418.9,10.8,14.4,18,15.5,41.5,53450,59652,22.1,1.3,1.2,94.8,50.8,56.6
39169,Ohio,Wayne,7668,20,4.42,5.36,6.1,22.9,38.4,8,29.9,58.3,20.1,28.8,253.2,12.9,12,1995,3266,86.8,5.9,11.6,3.8,13.8,9.3,Yes,13.1,78.7,377.9,10.2,13.7,17.7,12,38.6,67708,115694,18.7,1.5,2.1,93.6,50.3,51
39171,Ohio,Williams,8117,19.7,4.38,5.29,5.6,23.9,37.5,7.5,30.3,51.1,20.5,25.8,272.5,25.3,7.8,2158,3472,91.4,7.8,15.2,3.4,18,8.9,Yes,9.6,87.3,392.7,10.7,13.8,17.3,11.9,39.9,52458,36565,20,1.2,5,91.9,50.3,63.6
39173,Ohio,Wood,5989,17.1,4.08,4.99,6.9,19.5,39.2,7.8,27.6,61.2,19,27.6,341.7,9.1,6.2,1422,3901,94.9,7.1,8.9,4.6,11.6,9.5,Yes,13.2,83.4,333,10.5,12.7,16.1,11.5,37.2,67865,131113,16.1,2.6,6,87.5,50.6,29.5
39175,Ohio,Wyandot,8514,19.6,4.41,5.34,7.4,24.3,40.7,8.6,30.3,41.8,18.7,17.6,303.1,19.1,6.9,4354,3798,92.7,7,9.2,3.9,19.3,9.1,No,8.5,85.4,389.4,10.6,13.8,17.4,10.8,39.2,63516,21711,20.4,0.4,3.3,94.5,50.5,57.4
